algo name,input dist,retval,n elem,round no,n comps,time sec
selection,random,0,10000,1,49995000,1.065541800
selection,random,0,10000,2,49995000,1.063534600
selection,random,0,10000,3,49995000,1.063389900
selection,rising,0,10000,1,49995000,1.061171700
selection,rising,0,10000,2,49995000,1.062929500
selection,rising,0,10000,3,49995000,1.064572600
selection,almost rising,0,10000,1,49995000,1.068500200
selection,almost rising,0,10000,2,49995000,1.063781200
selection,almost rising,0,10000,3,49995000,1.063047900
stdlib qsort,random,0,10000,1,0,0.001033200
stdlib qsort,random,0,10000,2,0,0.000961500
stdlib qsort,random,0,10000,3,0,0.001078300
stdlib qsort,rising,0,10000,1,0,0.000186300
stdlib qsort,rising,0,10000,2,0,0.000186100
stdlib qsort,rising,0,10000,3,0,0.000185900
stdlib qsort,almost rising,0,10000,1,0,0.000187400
stdlib qsort,almost rising,0,10000,2,0,0.000183600
stdlib qsort,almost rising,0,10000,3,0,0.000192000
deterministic bogosort,random,2,10000,1,1073741824,8.026034000
deterministic bogosort,random,2,10000,2,1073741824,9.094245000
deterministic bogosort,random,2,10000,3,1073741824,11.002779700
deterministic bogosort,rising,0,10000,1,9999,0.000078100
deterministic bogosort,rising,0,10000,2,9999,0.000037700
deterministic bogosort,rising,0,10000,3,9999,0.000037700
deterministic bogosort,almost rising,2,10000,1,1073741824,11.006917500
deterministic bogosort,almost rising,2,10000,2,1073741824,9.090925900
deterministic bogosort,almost rising,2,10000,3,1073741824,10.037420100
extended radix sort,random,0,10000,1,0,0.000583800
extended radix sort,random,0,10000,2,0,0.000526900
extended radix sort,random,0,10000,3,0,0.000544000
extended radix sort,rising,0,10000,1,0,0.000522400
extended radix sort,rising,0,10000,2,0,0.000574200
extended radix sort,rising,0,10000,3,0,0.000537900
extended radix sort,almost rising,0,10000,1,0,0.000520200
extended radix sort,almost rising,0,10000,2,0,0.000502800
extended radix sort,almost rising,0,10000,3,0,0.000554300
bubblesort,random,2,100000,1,1073741824,14.088142400
bubblesort,random,2,100000,2,1073741824,14.082308100
bubblesort,random,2,100000,3,1073741824,14.055372000
bubblesort,rising,2,100000,1,1073741824,12.041331800
bubblesort,rising,2,100000,2,1073741824,12.045943400
bubblesort,rising,2,100000,3,1073741824,12.039756500
bubblesort,almost rising,2,100000,1,1073741824,12.040321600
bubblesort,almost rising,2,100000,2,1073741824,12.044910200
bubblesort,almost rising,2,100000,3,1073741824,12.044486100
insertion,random,2,100000,1,1073741824,13.054710100
insertion,random,2,100000,2,1073741824,13.061963600
insertion,random,2,100000,3,1073741824,13.078324700
insertion,rising,0,100000,1,99999,0.000428600
insertion,rising,0,100000,2,99999,0.000427300
insertion,rising,0,100000,3,99999,0.000425400
insertion,almost rising,0,100000,1,1299921,0.006980600
insertion,almost rising,0,100000,2,946699,0.005465600
insertion,almost rising,0,100000,3,1419875,0.007683200
merge sort,random,0,100000,1,1536252,0.023212900
merge sort,random,0,100000,2,1536611,0.026442100
merge sort,random,0,100000,3,1536426,0.026756700
merge sort,rising,0,100000,1,815024,0.016405000
merge sort,rising,0,100000,2,815024,0.016266800
merge sort,rising,0,100000,3,815024,0.016791800
merge sort,almost rising,0,100000,1,979918,0.016995600
merge sort,almost rising,0,100000,2,961210,0.016883400
merge sort,almost rising,0,100000,3,989497,0.016945000
high pivot quicksort,random,0,100000,1,2028907,0.015516800
high pivot quicksort,random,0,100000,2,2053143,0.015253200
high pivot quicksort,random,0,100000,3,2027880,0.015630400
high pivot quicksort,rising,2,100000,1,1073741824,8.000581600
high pivot quicksort,rising,2,100000,2,1073741824,7.065535400
high pivot quicksort,rising,2,100000,3,1073741824,8.001533400
high pivot quicksort,almost rising,0,100000,1,864821324,8.077021600
high pivot quicksort,almost rising,0,100000,2,1061862641,6.034650300
high pivot quicksort,almost rising,2,100000,3,1073741824,9.026026200
selection,random,2,100000,1,1073741824,7.025321500
selection,random,2,100000,2,1073741824,7.023428000
selection,random,2,100000,3,1073741824,7.023925600
selection,rising,2,100000,1,1073741824,7.023022400
selection,rising,2,100000,2,1073741824,7.023012400
